,strain,pHMM,hsp_score
406,Bifidobacterium_longum,malYcustom,429.9
407,Bifidobacterium_longum,metC,224.2
408,Bifidobacterium_longum,metCcustom,483.4
409,Blautia-hansenii-DSM-20583-MAF-2,cysK,447.2
410,Blautia-hansenii-DSM-20583-MAF-2,cysKcustom,520.3
411,Blautia-hansenii-DSM-20583-MAF-2,cysM,295.5
412,Blautia-hansenii-DSM-20583-MAF-2,cysMcustom,358.4
413,Blautia-hansenii-DSM-20583-MAF-2,lcd,42.9
414,Blautia-hansenii-DSM-20583-MAF-2,lcdcustom,40.7
415,Blautia-hansenii-DSM-20583-MAF-2,malY,405.2
416,Blautia-hansenii-DSM-20583-MAF-2,malYcustom,505.6
417,Blautia-hansenii-DSM-20583-MAF-2,metC,105.0
418,Blautia-hansenii-DSM-20583-MAF-2,metCcustom,363.5
419,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysK,452.6
420,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysKcustom,525.3
421,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysM,316.5
422,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysMcustom,372.4
423,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcd,44.2
424,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcdcustom,41.4
425,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malY,163.8
426,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malYcustom,228.2
427,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metC,117.6
428,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metCcustom,366.8
429,Blautia-obeum-ATCC-29174-MAF-2,cysK,465.3
430,Blautia-obeum-ATCC-29174-MAF-2,cysKcustom,543.1
431,Blautia-obeum-ATCC-29174-MAF-2,cysM,316.7
432,Blautia-obeum-ATCC-29174-MAF-2,cysMcustom,366.4
433,Blautia-obeum-ATCC-29174-MAF-2,lcd,41.7
434,Blautia-obeum-ATCC-29174-MAF-2,lcdcustom,40.9
435,Blautia-obeum-ATCC-29174-MAF-2,malY,111.9
436,Blautia-obeum-ATCC-29174-MAF-2,malYcustom,165.8
437,Blautia-obeum-ATCC-29174-MAF-2,metC,111.1
438,Blautia-obeum-ATCC-29174-MAF-2,metCcustom,360.4
439,Blautia-sp-KLE-1732-MAF-2,cysK,472.4
440,Blautia-sp-KLE-1732-MAF-2,cysKcustom,556.7
441,Blautia-sp-KLE-1732-MAF-2,cysM,322.4
442,Blautia-sp-KLE-1732-MAF-2,cysMcustom,376.3
443,Blautia-sp-KLE-1732-MAF-2,lcd,36.3
444,Blautia-sp-KLE-1732-MAF-2,lcdcustom,26.2
445,Blautia-sp-KLE-1732-MAF-2,malY,291.5
446,Blautia-sp-KLE-1732-MAF-2,malYcustom,443.8
447,Blautia-sp-KLE-1732-MAF-2,metC,116.9
448,Blautia-sp-KLE-1732-MAF-2,metCcustom,358.2
449,Blautia-wexlerae-DSM-19850-MAF-2,cysK,462.3
450,Blautia-wexlerae-DSM-19850-MAF-2,cysKcustom,544.7
451,Blautia-wexlerae-DSM-19850-MAF-2,cysM,319.6
452,Blautia-wexlerae-DSM-19850-MAF-2,cysMcustom,367.8
453,Blautia-wexlerae-DSM-19850-MAF-2,lcd,37.9
454,Blautia-wexlerae-DSM-19850-MAF-2,lcdcustom,33.2
455,Blautia-wexlerae-DSM-19850-MAF-2,malY,107.0
456,Blautia-wexlerae-DSM-19850-MAF-2,malYcustom,160.3
457,Blautia-wexlerae-DSM-19850-MAF-2,metC,117.0
458,Blautia-wexlerae-DSM-19850-MAF-2,metCcustom,303.7
459,Butyricimonas-virosa-DSM-23226-MAF-2,cysK,41.2
460,Butyricimonas-virosa-DSM-23226-MAF-2,cysKcustom,79.1
461,Butyricimonas-virosa-DSM-23226-MAF-2,cysM,22.1
462,Butyricimonas-virosa-DSM-23226-MAF-2,cysMcustom,36.7
463,Butyricimonas-virosa-DSM-23226-MAF-2,lcd,74.6
464,Butyricimonas-virosa-DSM-23226-MAF-2,lcdcustom,78.5
465,Butyricimonas-virosa-DSM-23226-MAF-2,malY,475.1
466,Butyricimonas-virosa-DSM-23226-MAF-2,malYcustom,560.4
467,Butyricimonas-virosa-DSM-23226-MAF-2,metC,14.0
468,Butyricimonas-virosa-DSM-23226-MAF-2,metCcustom,31.5
469,Butyricimonas-virosa-DSM-23226-MAF-2,tnaA,847.9
470,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysK,447.8
471,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysKcustom,538.7
472,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysM,308.2
473,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysMcustom,366.1
474,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcd,32.3
475,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcdcustom,33.2
476,Butyrivibrio-crossotus-DSM-2876-MAF-2,malY,453.0
477,Butyrivibrio-crossotus-DSM-2876-MAF-2,malYcustom,565.1
478,Butyrivibrio-crossotus-DSM-2876-MAF-2,metC,171.9
479,Butyrivibrio-crossotus-DSM-2876-MAF-2,metCcustom,395.5
480,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysK,457.2
481,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysKcustom,530.4
482,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysM,296.7
483,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysMcustom,365.6
484,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcd,38.1
485,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcdcustom,44.8
486,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malY,465.0
487,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malYcustom,574.7
488,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metC,120.4
489,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metCcustom,355.0
490,Clostridium-scindens-ATCC-35704-MAF-2,cysK,452.4
491,Clostridium-scindens-ATCC-35704-MAF-2,cysKcustom,531.4
492,Clostridium-scindens-ATCC-35704-MAF-2,cysM,320.7
493,Clostridium-scindens-ATCC-35704-MAF-2,cysMcustom,381.1
494,Clostridium-scindens-ATCC-35704-MAF-2,lcd,39.7
495,Clostridium-scindens-ATCC-35704-MAF-2,lcdcustom,48.8
496,Clostridium-scindens-ATCC-35704-MAF-2,malY,311.4
497,Clostridium-scindens-ATCC-35704-MAF-2,malYcustom,432.0
498,Clostridium-scindens-ATCC-35704-MAF-2,metC,118.4
499,Clostridium-scindens-ATCC-35704-MAF-2,metCcustom,233.0
500,Clostridium-sp-M62-1-MAF-2,cysK,418.3
501,Clostridium-sp-M62-1-MAF-2,cysKcustom,502.3
502,Clostridium-sp-M62-1-MAF-2,cysM,292.6
503,Clostridium-sp-M62-1-MAF-2,cysMcustom,350.8
504,Clostridium-sp-M62-1-MAF-2,lcd,38.3
505,Clostridium-sp-M62-1-MAF-2,lcdcustom,29.9
506,Clostridium-sp-M62-1-MAF-2,malY,418.0
507,Clostridium-sp-M62-1-MAF-2,malYcustom,541.2
508,Clostridium-sp-M62-1-MAF-2,metC,118.1
509,Clostridium-sp-M62-1-MAF-2,metCcustom,222.3
510,Clostridium-spiroforme-DSM-1552-MAF-2,cysK,420.3
511,Clostridium-spiroforme-DSM-1552-MAF-2,cysKcustom,480.5
512,Clostridium-spiroforme-DSM-1552-MAF-2,cysM,277.4
513,Clostridium-spiroforme-DSM-1552-MAF-2,cysMcustom,340.5
514,Clostridium-spiroforme-DSM-1552-MAF-2,lcd,42.2
515,Clostridium-spiroforme-DSM-1552-MAF-2,lcdcustom,50.4
516,Clostridium-spiroforme-DSM-1552-MAF-2,malY,398.4
517,Clostridium-spiroforme-DSM-1552-MAF-2,malYcustom,512.9
518,Clostridium-spiroforme-DSM-1552-MAF-2,metC,123.6
519,Clostridium-spiroforme-DSM-1552-MAF-2,metCcustom,223.7
520,Collinsella-stercoris-DSM-13279-MAF-2,cysK,445.2
521,Collinsella-stercoris-DSM-13279-MAF-2,cysKcustom,518.1
522,Collinsella-stercoris-DSM-13279-MAF-2,cysM,308.2
523,Collinsella-stercoris-DSM-13279-MAF-2,cysMcustom,363.8
524,Collinsella-stercoris-DSM-13279-MAF-2,lcd,48.7
525,Collinsella-stercoris-DSM-13279-MAF-2,lcdcustom,56.1
526,Collinsella-stercoris-DSM-13279-MAF-2,malY,307.7
527,Collinsella-stercoris-DSM-13279-MAF-2,malYcustom,417.2
528,Collinsella-stercoris-DSM-13279-MAF-2,metC,125.5
529,Collinsella-stercoris-DSM-13279-MAF-2,metCcustom,249.1
530,Collinsella_aerofaciens,cysK,462.3
531,Collinsella_aerofaciens,cysKcustom,536.5
532,Collinsella_aerofaciens,cysM,306.4
533,Collinsella_aerofaciens,cysMcustom,362.2
534,Collinsella_aerofaciens,lcd,55.8
535,Collinsella_aerofaciens,lcdcustom,62.9
536,Collinsella_aerofaciens,malY,308.8
537,Collinsella_aerofaciens,malYcustom,442.6
538,Collinsella_aerofaciens,metC,128.0
539,Collinsella_aerofaciens,metCcustom,242.1
540,Coprococcus-comes-ATCC-27758-MAF-2,cysK,462.2
541,Coprococcus-comes-ATCC-27758-MAF-2,cysKcustom,547.9
542,Coprococcus-comes-ATCC-27758-MAF-2,cysM,319.0
543,Coprococcus-comes-ATCC-27758-MAF-2,cysMcustom,366.8
544,Coprococcus-comes-ATCC-27758-MAF-2,lcd,29.7
545,Coprococcus-comes-ATCC-27758-MAF-2,lcdcustom,27.4
546,Coprococcus-comes-ATCC-27758-MAF-2,malY,480.0
547,Coprococcus-comes-ATCC-27758-MAF-2,malYcustom,577.9
548,Coprococcus-comes-ATCC-27758-MAF-2,metC,194.8
549,Coprococcus-comes-ATCC-27758-MAF-2,metCcustom,469.6
550,Coprococcus-eutactus-ATCC-27759-MAF-2,cysK,457.2
551,Coprococcus-eutactus-ATCC-27759-MAF-2,cysKcustom,537.4
552,Coprococcus-eutactus-ATCC-27759-MAF-2,cysM,302.9
553,Coprococcus-eutactus-ATCC-27759-MAF-2,cysMcustom,375.0
554,Coprococcus-eutactus-ATCC-27759-MAF-2,lcd,59.8
555,Coprococcus-eutactus-ATCC-27759-MAF-2,lcdcustom,62.6
556,Coprococcus-eutactus-ATCC-27759-MAF-2,malY,424.5
557,Coprococcus-eutactus-ATCC-27759-MAF-2,malYcustom,555.2
558,Coprococcus-eutactus-ATCC-27759-MAF-2,metC,150.5
559,Coprococcus-eutactus-ATCC-27759-MAF-2,metCcustom,336.8
560,Desulfovibrio_piger,cysK,378.7
561,Desulfovibrio_piger,cysKcustom,457.6
562,Desulfovibrio_piger,cysM,265.9
563,Desulfovibrio_piger,cysMcustom,318.9
564,Desulfovibrio_piger,lcd,15.2
565,Desulfovibrio_piger,malY,140.7
566,Desulfovibrio_piger,malYcustom,185.7
567,Desulfovibrio_piger,metC,129.7
568,Desulfovibrio_piger,metCcustom,249.7
569,Dorea-formicigenerans-ATCC-27755-MAF-2,cysK,466.2
570,Dorea-formicigenerans-ATCC-27755-MAF-2,cysKcustom,545.2
571,Dorea-formicigenerans-ATCC-27755-MAF-2,cysM,312.3
572,Dorea-formicigenerans-ATCC-27755-MAF-2,cysMcustom,366.1
573,Dorea-formicigenerans-ATCC-27755-MAF-2,lcd,33.0
574,Dorea-formicigenerans-ATCC-27755-MAF-2,lcdcustom,30.4
575,Dorea-formicigenerans-ATCC-27755-MAF-2,malY,492.7
576,Dorea-formicigenerans-ATCC-27755-MAF-2,malYcustom,595.0
577,Dorea-formicigenerans-ATCC-27755-MAF-2,metC,117.4
578,Dorea-formicigenerans-ATCC-27755-MAF-2,metCcustom,244.5
579,Dorea-longicatena-DSM-13814-MAF-2,cysK,448.4
580,Dorea-longicatena-DSM-13814-MAF-2,cysKcustom,528.9
581,Dorea-longicatena-DSM-13814-MAF-2,cysM,301.3
582,Dorea-longicatena-DSM-13814-MAF-2,cysMcustom,358.2
583,Dorea-longicatena-DSM-13814-MAF-2,lcd,37.0
584,Dorea-longicatena-DSM-13814-MAF-2,lcdcustom,41.9
585,Dorea-longicatena-DSM-13814-MAF-2,malY,478.5
586,Dorea-longicatena-DSM-13814-MAF-2,malYcustom,590.0
587,Dorea-longicatena-DSM-13814-MAF-2,metC,215.9
588,Dorea-longicatena-DSM-13814-MAF-2,metCcustom,471.0
589,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysK,449.4
590,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysKcustom,529.3
591,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysM,307.9
592,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysMcustom,363.3
593,Enterocloster-asparagiformis-DSM-15981-MAF-2,lcd,76.4
594,Enterocloster-asparagiformis-DSM-15981-MAF-2,lcdcustom,77.8
595,Enterocloster-asparagiformis-DSM-15981-MAF-2,malY,486.0
596,Enterocloster-asparagiformis-DSM-15981-MAF-2,malYcustom,586.4
597,Enterocloster-asparagiformis-DSM-15981-MAF-2,metC,196.6
598,Enterocloster-asparagiformis-DSM-15981-MAF-2,metCcustom,384.3
599,Enterocloster-asparagiformis-DSM-15981-MAF-2,tnaA,650.2
600,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysK,447.2
601,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysKcustom,530.0
602,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysM,309.5
603,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysMcustom,365.6
604,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,lcd,34.8
605,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,lcdcustom,37.4
606,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,malY,470.5
607,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,malYcustom,560.8
608,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,metC,278.2
609,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,metCcustom,448.6
610,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,tnaA,25.4
611,Escherichia_coli,cysK,485.6
612,Escherichia_coli,cysKcustom,515.5
613,Escherichia_coli,cysM,566.3
614,Escherichia_coli,cysMcustom,545.8
615,Escherichia_coli,lcd,67.4
616,Escherichia_coli,lcdcustom,72.5
617,Escherichia_coli,malY,377.3
618,Escherichia_coli,malYcustom,530.9
619,Escherichia_coli,metC,565.3
620,Escherichia_coli,metCcustom,563.0
621,Escherichia_coli,tnaA,933.4
622,Eubacterium-siraeum-DSM-15702-MAF-2,cysK,463.5
623,Eubacterium-siraeum-DSM-15702-MAF-2,cysKcustom,550.4
624,Eubacterium-siraeum-DSM-15702-MAF-2,cysM,315.1
625,Eubacterium-siraeum-DSM-15702-MAF-2,cysMcustom,377.6
626,Eubacterium-siraeum-DSM-15702-MAF-2,lcd,26.4
627,Eubacterium-siraeum-DSM-15702-MAF-2,lcdcustom,23.8
628,Eubacterium-siraeum-DSM-15702-MAF-2,malY,146.6
629,Eubacterium-siraeum-DSM-15702-MAF-2,malYcustom,204.8
630,Eubacterium-siraeum-DSM-15702-MAF-2,metC,118.5
631,Eubacterium-siraeum-DSM-15702-MAF-2,metCcustom,246.6
632,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysK,459.4
633,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysKcustom,536.2
634,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysM,318.2
635,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysMcustom,374.7
636,Eubacterium-ventriosum-ATCC-27560-MAF-2,lcd,45.7
637,Eubacterium-ventriosum-ATCC-27560-MAF-2,lcdcustom,50.8
638,Eubacterium-ventriosum-ATCC-27560-MAF-2,malY,477.1
639,Eubacterium-ventriosum-ATCC-27560-MAF-2,malYcustom,594.5
640,Eubacterium-ventriosum-ATCC-27560-MAF-2,metC,120.2
641,Eubacterium-ventriosum-ATCC-27560-MAF-2,metCcustom,256.5
642,Eubacterium_eligens,cysK,441.2
643,Eubacterium_eligens,cysKcustom,522.6
644,Eubacterium_eligens,cysM,308.8
645,Eubacterium_eligens,cysMcustom,357.5
646,Eubacterium_eligens,lcd,51.9
647,Eubacterium_eligens,lcdcustom,50.0
648,Eubacterium_eligens,malY,402.0
649,Eubacterium_eligens,malYcustom,530.3
650,Eubacterium_eligens,metC,119.8
651,Eubacterium_eligens,metCcustom,345.7
652,Eubacterium_rectale,cysK,463.4
653,Eubacterium_rectale,cysKcustom,543.7
654,Eubacterium_rectale,cysM,299.5
655,Eubacterium_rectale,cysMcustom,371.8
656,Eubacterium_rectale,lcd,27.8
657,Eubacterium_rectale,lcdcustom,23.6
658,Eubacterium_rectale,malY,422.2
659,Eubacterium_rectale,malYcustom,547.0
660,Eubacterium_rectale,metC,117.0
661,Eubacterium_rectale,metCcustom,328.5
662,Faecalibacterium_prausnitzii,cysK,464.1
663,Faecalibacterium_prausnitzii,cysKcustom,547.3
664,Faecalibacterium_prausnitzii,cysM,317.2
665,Faecalibacterium_prausnitzii,cysMcustom,372.6
666,Faecalibacterium_prausnitzii,lcd,36.9
667,Faecalibacterium_prausnitzii,lcdcustom,35.2
668,Faecalibacterium_prausnitzii,malY,157.1
669,Faecalibacterium_prausnitzii,malYcustom,209.3
670,Faecalibacterium_prausnitzii,metC,126.2
671,Faecalibacterium_prausnitzii,metCcustom,252.5
672,Granulicatella-adiacens-ATCC-49175-MAF-2,cysK,421.2
673,Granulicatella-adiacens-ATCC-49175-MAF-2,cysKcustom,487.8
674,Granulicatella-adiacens-ATCC-49175-MAF-2,cysM,303.7
675,Granulicatella-adiacens-ATCC-49175-MAF-2,cysMcustom,368.7
676,Granulicatella-adiacens-ATCC-49175-MAF-2,lcd,44.1
677,Granulicatella-adiacens-ATCC-49175-MAF-2,lcdcustom,58.2
678,Granulicatella-adiacens-ATCC-49175-MAF-2,malY,328.3
679,Granulicatella-adiacens-ATCC-49175-MAF-2,malYcustom,449.5
680,Granulicatella-adiacens-ATCC-49175-MAF-2,metC,23.5
681,Granulicatella-adiacens-ATCC-49175-MAF-2,metCcustom,32.8
682,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysK,446.9
683,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysKcustom,516.3
684,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysM,300.3
685,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysMcustom,349.4
686,Intestinibacter-bartlettii-DSM-16795-MAF-2,lcd,50.5
687,Intestinibacter-bartlettii-DSM-16795-MAF-2,lcdcustom,51.7
688,Intestinibacter-bartlettii-DSM-16795-MAF-2,malY,142.6
689,Intestinibacter-bartlettii-DSM-16795-MAF-2,malYcustom,213.2
690,Intestinibacter-bartlettii-DSM-16795-MAF-2,metC,240.2
691,Intestinibacter-bartlettii-DSM-16795-MAF-2,metCcustom,476.5
692,Lachnospira-eligens-ATCC-27750-MAF-2,cysK,441.2
693,Lachnospira-eligens-ATCC-27750-MAF-2,cysKcustom,522.6
694,Lachnospira-eligens-ATCC-27750-MAF-2,cysM,308.8
695,Lachnospira-eligens-ATCC-27750-MAF-2,cysMcustom,357.5
696,Lachnospira-eligens-ATCC-27750-MAF-2,lcd,51.9
697,Lachnospira-eligens-ATCC-27750-MAF-2,lcdcustom,50.0
698,Lachnospira-eligens-ATCC-27750-MAF-2,malY,402.0
699,Lachnospira-eligens-ATCC-27750-MAF-2,malYcustom,530.3
700,Lachnospira-eligens-ATCC-27750-MAF-2,metC,119.8
701,Lachnospira-eligens-ATCC-27750-MAF-2,metCcustom,345.7
702,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysK,439.0
703,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysKcustom,504.3
704,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysM,278.2
705,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysMcustom,351.4
706,Lactobacillus-ruminis-ATCC-25644-MAF-2,lcd,54.9
707,Lactobacillus-ruminis-ATCC-25644-MAF-2,lcdcustom,58.4
708,Lactobacillus-ruminis-ATCC-25644-MAF-2,malY,383.8
709,Lactobacillus-ruminis-ATCC-25644-MAF-2,malYcustom,487.5
710,Lactobacillus-ruminis-ATCC-25644-MAF-2,metC,118.9
711,Lactobacillus-ruminis-ATCC-25644-MAF-2,metCcustom,248.3
712,Lactococcus-lactis-IL1403-MAF-2,cysK,427.8
713,Lactococcus-lactis-IL1403-MAF-2,cysKcustom,508.7
714,Lactococcus-lactis-IL1403-MAF-2,cysM,276.2
715,Lactococcus-lactis-IL1403-MAF-2,cysMcustom,343.7
716,Lactococcus-lactis-IL1403-MAF-2,lcd,50.6
717,Lactococcus-lactis-IL1403-MAF-2,lcdcustom,64.2
718,Lactococcus-lactis-IL1403-MAF-2,malY,392.4
719,Lactococcus-lactis-IL1403-MAF-2,malYcustom,514.6
720,Lactococcus-lactis-IL1403-MAF-2,metC,253.6
721,Lactococcus-lactis-IL1403-MAF-2,metCcustom,557.0
722,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysK,463.4
723,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysKcustom,535.4
724,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysM,306.5
725,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysMcustom,366.5
726,Marvinbryantia-formatexigens-DSM-14469-MAF-2,lcd,30.0
727,Marvinbryantia-formatexigens-DSM-14469-MAF-2,lcdcustom,20.8
728,Marvinbryantia-formatexigens-DSM-14469-MAF-2,malY,432.6
729,Marvinbryantia-formatexigens-DSM-14469-MAF-2,malYcustom,573.8
730,Marvinbryantia-formatexigens-DSM-14469-MAF-2,metC,117.2
731,Marvinbryantia-formatexigens-DSM-14469-MAF-2,metCcustom,228.3
732,Megasphaera-elsdenii-14-14-MAF-2,cysK,425.4
733,Megasphaera-elsdenii-14-14-MAF-2,cysKcustom,506.1
734,Megasphaera-elsdenii-14-14-MAF-2,cysM,284.2
735,Megasphaera-elsdenii-14-14-MAF-2,cysMcustom,346.7
736,Megasphaera-elsdenii-14-14-MAF-2,lcd,53.4
737,Megasphaera-elsdenii-14-14-MAF-2,lcdcustom,63.8
738,Megasphaera-elsdenii-14-14-MAF-2,malY,345.0
739,Megasphaera-elsdenii-14-14-MAF-2,malYcustom,485.8
740,Megasphaera-elsdenii-14-14-MAF-2,metC,227.1
741,Megasphaera-elsdenii-14-14-MAF-2,metCcustom,458.0
742,Mitsuokella-multacida-DSM-20544-MAF-2,cysK,466.3
743,Mitsuokella-multacida-DSM-20544-MAF-2,cysKcustom,546.4
744,Mitsuokella-multacida-DSM-20544-MAF-2,cysM,291.5
745,Mitsuokella-multacida-DSM-20544-MAF-2,cysMcustom,356.7
746,Mitsuokella-multacida-DSM-20544-MAF-2,lcd,40.4
747,Mitsuokella-multacida-DSM-20544-MAF-2,lcdcustom,45.1
748,Mitsuokella-multacida-DSM-20544-MAF-2,malY,475.8
749,Mitsuokella-multacida-DSM-20544-MAF-2,malYcustom,591.0
750,Mitsuokella-multacida-DSM-20544-MAF-2,metC,223.7
751,Mitsuokella-multacida-DSM-20544-MAF-2,metCcustom,468.5
752,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysK,460.7
753,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysKcustom,551.7
754,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysM,314.9
755,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysMcustom,368.7
756,Parabacteroides-johnsonii-DSM-18315-MAF-2,lcd,81.8
757,Parabacteroides-johnsonii-DSM-18315-MAF-2,lcdcustom,91.9
758,Parabacteroides-johnsonii-DSM-18315-MAF-2,malY,483.5
759,Parabacteroides-johnsonii-DSM-18315-MAF-2,malYcustom,609.3
760,Parabacteroides-johnsonii-DSM-18315-MAF-2,metC,119.0
761,Parabacteroides-johnsonii-DSM-18315-MAF-2,metCcustom,235.1
762,Parabacteroides-merdae-ATCC-43184-MAF-2,cysK,460.4
763,Parabacteroides-merdae-ATCC-43184-MAF-2,cysKcustom,549.2
764,Parabacteroides-merdae-ATCC-43184-MAF-2,cysM,313.6
765,Parabacteroides-merdae-ATCC-43184-MAF-2,cysMcustom,367.9
766,Parabacteroides-merdae-ATCC-43184-MAF-2,lcd,82.0
767,Parabacteroides-merdae-ATCC-43184-MAF-2,lcdcustom,93.0
768,Parabacteroides-merdae-ATCC-43184-MAF-2,malY,478.6
769,Parabacteroides-merdae-ATCC-43184-MAF-2,malYcustom,588.4
770,Parabacteroides-merdae-ATCC-43184-MAF-2,metC,119.6
771,Parabacteroides-merdae-ATCC-43184-MAF-2,metCcustom,236.5
772,Parabacteroides-sp-D13-MAF-2,cysK,454.8
773,Parabacteroides-sp-D13-MAF-2,cysKcustom,546.6
774,Parabacteroides-sp-D13-MAF-2,cysM,306.2
775,Parabacteroides-sp-D13-MAF-2,cysMcustom,358.5
776,Parabacteroides-sp-D13-MAF-2,lcd,88.1
777,Parabacteroides-sp-D13-MAF-2,lcdcustom,95.1
778,Parabacteroides-sp-D13-MAF-2,malY,487.8
779,Parabacteroides-sp-D13-MAF-2,malYcustom,590.4
780,Parabacteroides-sp-D13-MAF-2,metC,106.2
781,Parabacteroides-sp-D13-MAF-2,metCcustom,229.5
782,Phocaeicola_vulgatus,cysK,444.8
783,Phocaeicola_vulgatus,cysKcustom,535.0
784,Phocaeicola_vulgatus,cysM,306.8
785,Phocaeicola_vulgatus,cysMcustom,360.6
786,Phocaeicola_vulgatus,lcd,93.4
787,Phocaeicola_vulgatus,lcdcustom,102.0
788,Phocaeicola_vulgatus,malY,475.8
789,Phocaeicola_vulgatus,malYcustom,602.0
790,Phocaeicola_vulgatus,metC,115.6
791,Phocaeicola_vulgatus,metCcustom,245.5
792,Prevotella-buccalis-ATCC-35310-MAF-2,cysK,444.9
793,Prevotella-buccalis-ATCC-35310-MAF-2,cysKcustom,523.9
794,Prevotella-buccalis-ATCC-35310-MAF-2,cysM,302.5
795,Prevotella-buccalis-ATCC-35310-MAF-2,cysMcustom,358.0
796,Prevotella-buccalis-ATCC-35310-MAF-2,lcd,71.4
797,Prevotella-buccalis-ATCC-35310-MAF-2,lcdcustom,80.1
798,Prevotella-buccalis-ATCC-35310-MAF-2,malY,454.9
799,Prevotella-buccalis-ATCC-35310-MAF-2,malYcustom,590.2
800,Prevotella-buccalis-ATCC-35310-MAF-2,metC,112.9
801,Prevotella-buccalis-ATCC-35310-MAF-2,metCcustom,228.9
802,Prevotella-copri-DSM-18205-MAF-2,cysK,439.5
803,Prevotella-copri-DSM-18205-MAF-2,cysKcustom,528.6
804,Prevotella-copri-DSM-18205-MAF-2,cysM,314.2
805,Prevotella-copri-DSM-18205-MAF-2,cysMcustom,361.7
806,Prevotella-copri-DSM-18205-MAF-2,lcd,76.0
807,Prevotella-copri-DSM-18205-MAF-2,lcdcustom,81.6
808,Prevotella-copri-DSM-18205-MAF-2,malY,454.1
809,Prevotella-copri-DSM-18205-MAF-2,malYcustom,590.3
810,Prevotella-copri-DSM-18205-MAF-2,metC,118.8
811,Prevotella-copri-DSM-18205-MAF-2,metCcustom,244.6
812,Roseburia-intestinalis-L1-82-MAF-2,cysK,457.8
813,Roseburia-intestinalis-L1-82-MAF-2,cysKcustom,543.0
814,Roseburia-intestinalis-L1-82-MAF-2,cysM,316.0
815,Roseburia-intestinalis-L1-82-MAF-2,cysMcustom,369.6
816,Roseburia-intestinalis-L1-82-MAF-2,lcd,64.9
817,Roseburia-intestinalis-L1-82-MAF-2,lcdcustom,66.5
818,Roseburia-intestinalis-L1-82-MAF-2,malY,478.1
819,Roseburia-intestinalis-L1-82-MAF-2,malYcustom,593.1
