,strain,pHMM,hit_score
406,Bifidobacterium_longum,malYcustom,430.1
407,Bifidobacterium_longum,metC,224.4
408,Bifidobacterium_longum,metCcustom,483.6
409,Blautia-hansenii-DSM-20583-MAF-2,cysK,447.3
410,Blautia-hansenii-DSM-20583-MAF-2,cysKcustom,520.4
411,Blautia-hansenii-DSM-20583-MAF-2,cysM,295.7
412,Blautia-hansenii-DSM-20583-MAF-2,cysMcustom,358.6
413,Blautia-hansenii-DSM-20583-MAF-2,lcd,44.2
414,Blautia-hansenii-DSM-20583-MAF-2,lcdcustom,44.4
415,Blautia-hansenii-DSM-20583-MAF-2,malY,405.4
416,Blautia-hansenii-DSM-20583-MAF-2,malYcustom,505.8
417,Blautia-hansenii-DSM-20583-MAF-2,metC,176.2
418,Blautia-hansenii-DSM-20583-MAF-2,metCcustom,370.9
419,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysK,452.8
420,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysKcustom,525.5
421,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysM,316.7
422,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysMcustom,372.6
423,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcd,45.5
424,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcdcustom,44.9
425,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malY,164.1
426,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malYcustom,228.6
427,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metC,206.2
428,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metCcustom,393.4
429,Blautia-obeum-ATCC-29174-MAF-2,cysK,465.5
430,Blautia-obeum-ATCC-29174-MAF-2,cysKcustom,543.3
431,Blautia-obeum-ATCC-29174-MAF-2,cysM,317.0
432,Blautia-obeum-ATCC-29174-MAF-2,cysMcustom,366.6
433,Blautia-obeum-ATCC-29174-MAF-2,lcd,42.9
434,Blautia-obeum-ATCC-29174-MAF-2,lcdcustom,41.9
435,Blautia-obeum-ATCC-29174-MAF-2,malY,112.3
436,Blautia-obeum-ATCC-29174-MAF-2,malYcustom,166.0
437,Blautia-obeum-ATCC-29174-MAF-2,metC,189.0
438,Blautia-obeum-ATCC-29174-MAF-2,metCcustom,389.1
439,Blautia-sp-KLE-1732-MAF-2,cysK,472.6
440,Blautia-sp-KLE-1732-MAF-2,cysKcustom,556.9
441,Blautia-sp-KLE-1732-MAF-2,cysM,322.6
442,Blautia-sp-KLE-1732-MAF-2,cysMcustom,376.5
443,Blautia-sp-KLE-1732-MAF-2,lcd,38.7
444,Blautia-sp-KLE-1732-MAF-2,lcdcustom,39.6
445,Blautia-sp-KLE-1732-MAF-2,malY,291.8
446,Blautia-sp-KLE-1732-MAF-2,malYcustom,444.0
447,Blautia-sp-KLE-1732-MAF-2,metC,199.8
448,Blautia-sp-KLE-1732-MAF-2,metCcustom,398.3
449,Blautia-wexlerae-DSM-19850-MAF-2,cysK,462.5
450,Blautia-wexlerae-DSM-19850-MAF-2,cysKcustom,544.9
451,Blautia-wexlerae-DSM-19850-MAF-2,cysM,319.8
452,Blautia-wexlerae-DSM-19850-MAF-2,cysMcustom,368.1
453,Blautia-wexlerae-DSM-19850-MAF-2,lcd,38.9
454,Blautia-wexlerae-DSM-19850-MAF-2,lcdcustom,35.4
455,Blautia-wexlerae-DSM-19850-MAF-2,malY,107.4
456,Blautia-wexlerae-DSM-19850-MAF-2,malYcustom,160.9
457,Blautia-wexlerae-DSM-19850-MAF-2,metC,200.4
458,Blautia-wexlerae-DSM-19850-MAF-2,metCcustom,400.2
459,Butyricimonas-virosa-DSM-23226-MAF-2,cysK,44.2
460,Butyricimonas-virosa-DSM-23226-MAF-2,cysKcustom,79.6
461,Butyricimonas-virosa-DSM-23226-MAF-2,cysM,24.6
462,Butyricimonas-virosa-DSM-23226-MAF-2,cysMcustom,39.7
463,Butyricimonas-virosa-DSM-23226-MAF-2,lcd,78.2
464,Butyricimonas-virosa-DSM-23226-MAF-2,lcdcustom,80.3
465,Butyricimonas-virosa-DSM-23226-MAF-2,malY,475.3
466,Butyricimonas-virosa-DSM-23226-MAF-2,malYcustom,560.5
467,Butyricimonas-virosa-DSM-23226-MAF-2,metC,14.5
468,Butyricimonas-virosa-DSM-23226-MAF-2,metCcustom,32.1
469,Butyricimonas-virosa-DSM-23226-MAF-2,tnaA,848.0
470,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysK,448.0
471,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysKcustom,538.9
472,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysM,308.4
473,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysMcustom,366.3
474,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcd,38.5
475,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcdcustom,38.1
476,Butyrivibrio-crossotus-DSM-2876-MAF-2,malY,453.1
477,Butyrivibrio-crossotus-DSM-2876-MAF-2,malYcustom,565.3
478,Butyrivibrio-crossotus-DSM-2876-MAF-2,metC,193.5
479,Butyrivibrio-crossotus-DSM-2876-MAF-2,metCcustom,395.6
480,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysK,457.4
481,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysKcustom,530.6
482,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysM,296.9
483,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysMcustom,365.8
484,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcd,41.6
485,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcdcustom,48.4
486,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malY,465.2
487,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malYcustom,574.9
488,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metC,198.5
489,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metCcustom,396.6
490,Clostridium-scindens-ATCC-35704-MAF-2,cysK,452.6
491,Clostridium-scindens-ATCC-35704-MAF-2,cysKcustom,531.6
492,Clostridium-scindens-ATCC-35704-MAF-2,cysM,320.9
493,Clostridium-scindens-ATCC-35704-MAF-2,cysMcustom,381.3
494,Clostridium-scindens-ATCC-35704-MAF-2,lcd,40.0
495,Clostridium-scindens-ATCC-35704-MAF-2,lcdcustom,49.2
496,Clostridium-scindens-ATCC-35704-MAF-2,malY,311.5
497,Clostridium-scindens-ATCC-35704-MAF-2,malYcustom,432.2
498,Clostridium-scindens-ATCC-35704-MAF-2,metC,205.4
499,Clostridium-scindens-ATCC-35704-MAF-2,metCcustom,387.4
500,Clostridium-sp-M62-1-MAF-2,cysK,418.4
501,Clostridium-sp-M62-1-MAF-2,cysKcustom,502.5
502,Clostridium-sp-M62-1-MAF-2,cysM,292.8
503,Clostridium-sp-M62-1-MAF-2,cysMcustom,351.0
504,Clostridium-sp-M62-1-MAF-2,lcd,39.2
505,Clostridium-sp-M62-1-MAF-2,lcdcustom,33.0
506,Clostridium-sp-M62-1-MAF-2,malY,418.1
507,Clostridium-sp-M62-1-MAF-2,malYcustom,541.4
508,Clostridium-sp-M62-1-MAF-2,metC,191.4
509,Clostridium-sp-M62-1-MAF-2,metCcustom,354.4
510,Clostridium-spiroforme-DSM-1552-MAF-2,cysK,420.4
511,Clostridium-spiroforme-DSM-1552-MAF-2,cysKcustom,480.7
512,Clostridium-spiroforme-DSM-1552-MAF-2,cysM,277.6
513,Clostridium-spiroforme-DSM-1552-MAF-2,cysMcustom,340.7
514,Clostridium-spiroforme-DSM-1552-MAF-2,lcd,44.1
515,Clostridium-spiroforme-DSM-1552-MAF-2,lcdcustom,51.8
516,Clostridium-spiroforme-DSM-1552-MAF-2,malY,398.5
517,Clostridium-spiroforme-DSM-1552-MAF-2,malYcustom,513.2
518,Clostridium-spiroforme-DSM-1552-MAF-2,metC,194.9
519,Clostridium-spiroforme-DSM-1552-MAF-2,metCcustom,362.7
520,Collinsella-stercoris-DSM-13279-MAF-2,cysK,445.4
521,Collinsella-stercoris-DSM-13279-MAF-2,cysKcustom,518.3
522,Collinsella-stercoris-DSM-13279-MAF-2,cysM,308.5
523,Collinsella-stercoris-DSM-13279-MAF-2,cysMcustom,364.0
524,Collinsella-stercoris-DSM-13279-MAF-2,lcd,52.2
525,Collinsella-stercoris-DSM-13279-MAF-2,lcdcustom,57.9
526,Collinsella-stercoris-DSM-13279-MAF-2,malY,308.0
527,Collinsella-stercoris-DSM-13279-MAF-2,malYcustom,417.4
528,Collinsella-stercoris-DSM-13279-MAF-2,metC,213.8
529,Collinsella-stercoris-DSM-13279-MAF-2,metCcustom,393.2
530,Collinsella_aerofaciens,cysK,462.5
531,Collinsella_aerofaciens,cysKcustom,536.6
532,Collinsella_aerofaciens,cysM,306.6
533,Collinsella_aerofaciens,cysMcustom,362.4
534,Collinsella_aerofaciens,lcd,57.6
535,Collinsella_aerofaciens,lcdcustom,63.6
536,Collinsella_aerofaciens,malY,309.0
537,Collinsella_aerofaciens,malYcustom,442.7
538,Collinsella_aerofaciens,metC,220.2
539,Collinsella_aerofaciens,metCcustom,386.6
540,Coprococcus-comes-ATCC-27758-MAF-2,cysK,462.4
541,Coprococcus-comes-ATCC-27758-MAF-2,cysKcustom,548.1
542,Coprococcus-comes-ATCC-27758-MAF-2,cysM,319.2
543,Coprococcus-comes-ATCC-27758-MAF-2,cysMcustom,367.0
544,Coprococcus-comes-ATCC-27758-MAF-2,lcd,33.0
545,Coprococcus-comes-ATCC-27758-MAF-2,lcdcustom,28.8
546,Coprococcus-comes-ATCC-27758-MAF-2,malY,480.2
547,Coprococcus-comes-ATCC-27758-MAF-2,malYcustom,578.1
548,Coprococcus-comes-ATCC-27758-MAF-2,metC,218.0
549,Coprococcus-comes-ATCC-27758-MAF-2,metCcustom,469.7
550,Coprococcus-eutactus-ATCC-27759-MAF-2,cysK,457.4
551,Coprococcus-eutactus-ATCC-27759-MAF-2,cysKcustom,537.5
552,Coprococcus-eutactus-ATCC-27759-MAF-2,cysM,303.1
553,Coprococcus-eutactus-ATCC-27759-MAF-2,cysMcustom,375.1
554,Coprococcus-eutactus-ATCC-27759-MAF-2,lcd,62.3
555,Coprococcus-eutactus-ATCC-27759-MAF-2,lcdcustom,65.2
556,Coprococcus-eutactus-ATCC-27759-MAF-2,malY,424.7
557,Coprococcus-eutactus-ATCC-27759-MAF-2,malYcustom,555.3
558,Coprococcus-eutactus-ATCC-27759-MAF-2,metC,198.9
559,Coprococcus-eutactus-ATCC-27759-MAF-2,metCcustom,383.2
560,Desulfovibrio_piger,cysK,378.8
561,Desulfovibrio_piger,cysKcustom,457.7
562,Desulfovibrio_piger,cysM,266.1
563,Desulfovibrio_piger,cysMcustom,319.1
564,Desulfovibrio_piger,lcd,15.9
565,Desulfovibrio_piger,malY,141.0
566,Desulfovibrio_piger,malYcustom,185.9
567,Desulfovibrio_piger,metC,202.3
568,Desulfovibrio_piger,metCcustom,385.0
569,Dorea-formicigenerans-ATCC-27755-MAF-2,cysK,466.3
570,Dorea-formicigenerans-ATCC-27755-MAF-2,cysKcustom,545.4
571,Dorea-formicigenerans-ATCC-27755-MAF-2,cysM,312.6
572,Dorea-formicigenerans-ATCC-27755-MAF-2,cysMcustom,366.2
573,Dorea-formicigenerans-ATCC-27755-MAF-2,lcd,36.4
574,Dorea-formicigenerans-ATCC-27755-MAF-2,lcdcustom,38.3
575,Dorea-formicigenerans-ATCC-27755-MAF-2,malY,492.9
576,Dorea-formicigenerans-ATCC-27755-MAF-2,malYcustom,595.3
577,Dorea-formicigenerans-ATCC-27755-MAF-2,metC,190.1
578,Dorea-formicigenerans-ATCC-27755-MAF-2,metCcustom,391.5
579,Dorea-longicatena-DSM-13814-MAF-2,cysK,448.5
580,Dorea-longicatena-DSM-13814-MAF-2,cysKcustom,529.1
581,Dorea-longicatena-DSM-13814-MAF-2,cysM,301.6
582,Dorea-longicatena-DSM-13814-MAF-2,cysMcustom,358.4
583,Dorea-longicatena-DSM-13814-MAF-2,lcd,37.2
584,Dorea-longicatena-DSM-13814-MAF-2,lcdcustom,42.6
585,Dorea-longicatena-DSM-13814-MAF-2,malY,478.7
586,Dorea-longicatena-DSM-13814-MAF-2,malYcustom,590.2
587,Dorea-longicatena-DSM-13814-MAF-2,metC,216.1
588,Dorea-longicatena-DSM-13814-MAF-2,metCcustom,471.1
589,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysK,449.6
590,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysKcustom,529.5
591,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysM,308.2
592,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysMcustom,363.5
593,Enterocloster-asparagiformis-DSM-15981-MAF-2,lcd,81.3
594,Enterocloster-asparagiformis-DSM-15981-MAF-2,lcdcustom,82.8
595,Enterocloster-asparagiformis-DSM-15981-MAF-2,malY,486.2
596,Enterocloster-asparagiformis-DSM-15981-MAF-2,malYcustom,586.6
597,Enterocloster-asparagiformis-DSM-15981-MAF-2,metC,201.2
598,Enterocloster-asparagiformis-DSM-15981-MAF-2,metCcustom,396.6
599,Enterocloster-asparagiformis-DSM-15981-MAF-2,tnaA,650.3
600,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysK,447.4
601,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysKcustom,530.1
602,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysM,309.8
603,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysMcustom,365.8
604,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,lcd,37.5
605,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,lcdcustom,40.6
606,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,malY,470.7
607,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,malYcustom,561.0
608,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,metC,278.4
609,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,metCcustom,448.8
610,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,tnaA,28.2
611,Escherichia_coli,cysK,485.8
612,Escherichia_coli,cysKcustom,515.6
613,Escherichia_coli,cysM,566.5
614,Escherichia_coli,cysMcustom,546.0
615,Escherichia_coli,lcd,71.3
616,Escherichia_coli,lcdcustom,73.5
617,Escherichia_coli,malY,377.5
618,Escherichia_coli,malYcustom,531.1
619,Escherichia_coli,metC,565.5
620,Escherichia_coli,metCcustom,563.3
621,Escherichia_coli,tnaA,933.6
622,Eubacterium-siraeum-DSM-15702-MAF-2,cysK,463.6
623,Eubacterium-siraeum-DSM-15702-MAF-2,cysKcustom,550.5
624,Eubacterium-siraeum-DSM-15702-MAF-2,cysM,315.3
625,Eubacterium-siraeum-DSM-15702-MAF-2,cysMcustom,377.7
626,Eubacterium-siraeum-DSM-15702-MAF-2,lcd,28.4
627,Eubacterium-siraeum-DSM-15702-MAF-2,lcdcustom,25.7
628,Eubacterium-siraeum-DSM-15702-MAF-2,malY,146.8
629,Eubacterium-siraeum-DSM-15702-MAF-2,malYcustom,204.9
630,Eubacterium-siraeum-DSM-15702-MAF-2,metC,216.9
631,Eubacterium-siraeum-DSM-15702-MAF-2,metCcustom,402.3
632,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysK,459.6
633,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysKcustom,536.3
634,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysM,318.4
635,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysMcustom,374.9
636,Eubacterium-ventriosum-ATCC-27560-MAF-2,lcd,58.4
637,Eubacterium-ventriosum-ATCC-27560-MAF-2,lcdcustom,60.9
638,Eubacterium-ventriosum-ATCC-27560-MAF-2,malY,477.3
639,Eubacterium-ventriosum-ATCC-27560-MAF-2,malYcustom,594.7
640,Eubacterium-ventriosum-ATCC-27560-MAF-2,metC,200.9
641,Eubacterium-ventriosum-ATCC-27560-MAF-2,metCcustom,403.8
642,Eubacterium_eligens,cysK,441.4
643,Eubacterium_eligens,cysKcustom,522.8
644,Eubacterium_eligens,cysM,309.1
645,Eubacterium_eligens,cysMcustom,357.7
646,Eubacterium_eligens,lcd,53.0
647,Eubacterium_eligens,lcdcustom,51.6
648,Eubacterium_eligens,malY,402.2
649,Eubacterium_eligens,malYcustom,530.4
650,Eubacterium_eligens,metC,200.4
651,Eubacterium_eligens,metCcustom,390.3
652,Eubacterium_rectale,cysK,463.6
653,Eubacterium_rectale,cysKcustom,543.8
654,Eubacterium_rectale,cysM,299.8
655,Eubacterium_rectale,cysMcustom,372.0
656,Eubacterium_rectale,lcd,29.6
657,Eubacterium_rectale,lcdcustom,34.0
658,Eubacterium_rectale,malY,422.4
659,Eubacterium_rectale,malYcustom,547.2
660,Eubacterium_rectale,metC,200.1
661,Eubacterium_rectale,metCcustom,384.8
662,Faecalibacterium_prausnitzii,cysK,464.2
663,Faecalibacterium_prausnitzii,cysKcustom,547.4
664,Faecalibacterium_prausnitzii,cysM,317.4
665,Faecalibacterium_prausnitzii,cysMcustom,372.8
666,Faecalibacterium_prausnitzii,lcd,38.3
667,Faecalibacterium_prausnitzii,lcdcustom,37.5
668,Faecalibacterium_prausnitzii,malY,157.4
669,Faecalibacterium_prausnitzii,malYcustom,209.5
670,Faecalibacterium_prausnitzii,metC,224.1
671,Faecalibacterium_prausnitzii,metCcustom,401.4
672,Granulicatella-adiacens-ATCC-49175-MAF-2,cysK,421.4
673,Granulicatella-adiacens-ATCC-49175-MAF-2,cysKcustom,488.0
674,Granulicatella-adiacens-ATCC-49175-MAF-2,cysM,303.8
675,Granulicatella-adiacens-ATCC-49175-MAF-2,cysMcustom,368.8
676,Granulicatella-adiacens-ATCC-49175-MAF-2,lcd,50.0
677,Granulicatella-adiacens-ATCC-49175-MAF-2,lcdcustom,60.2
678,Granulicatella-adiacens-ATCC-49175-MAF-2,malY,328.4
679,Granulicatella-adiacens-ATCC-49175-MAF-2,malYcustom,449.8
680,Granulicatella-adiacens-ATCC-49175-MAF-2,metC,23.8
681,Granulicatella-adiacens-ATCC-49175-MAF-2,metCcustom,33.9
682,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysK,447.1
683,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysKcustom,516.4
684,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysM,300.5
685,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysMcustom,349.6
686,Intestinibacter-bartlettii-DSM-16795-MAF-2,lcd,50.9
687,Intestinibacter-bartlettii-DSM-16795-MAF-2,lcdcustom,52.1
688,Intestinibacter-bartlettii-DSM-16795-MAF-2,malY,143.0
689,Intestinibacter-bartlettii-DSM-16795-MAF-2,malYcustom,213.6
690,Intestinibacter-bartlettii-DSM-16795-MAF-2,metC,240.4
691,Intestinibacter-bartlettii-DSM-16795-MAF-2,metCcustom,476.7
692,Lachnospira-eligens-ATCC-27750-MAF-2,cysK,441.4
693,Lachnospira-eligens-ATCC-27750-MAF-2,cysKcustom,522.8
694,Lachnospira-eligens-ATCC-27750-MAF-2,cysM,309.1
695,Lachnospira-eligens-ATCC-27750-MAF-2,cysMcustom,357.7
696,Lachnospira-eligens-ATCC-27750-MAF-2,lcd,53.0
697,Lachnospira-eligens-ATCC-27750-MAF-2,lcdcustom,51.6
698,Lachnospira-eligens-ATCC-27750-MAF-2,malY,402.2
699,Lachnospira-eligens-ATCC-27750-MAF-2,malYcustom,530.4
700,Lachnospira-eligens-ATCC-27750-MAF-2,metC,200.4
701,Lachnospira-eligens-ATCC-27750-MAF-2,metCcustom,390.3
702,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysK,439.2
703,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysKcustom,504.5
704,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysM,278.4
705,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysMcustom,351.6
706,Lactobacillus-ruminis-ATCC-25644-MAF-2,lcd,57.0
707,Lactobacillus-ruminis-ATCC-25644-MAF-2,lcdcustom,60.3
708,Lactobacillus-ruminis-ATCC-25644-MAF-2,malY,384.0
709,Lactobacillus-ruminis-ATCC-25644-MAF-2,malYcustom,487.6
710,Lactobacillus-ruminis-ATCC-25644-MAF-2,metC,201.2
711,Lactobacillus-ruminis-ATCC-25644-MAF-2,metCcustom,403.1
712,Lactococcus-lactis-IL1403-MAF-2,cysK,428.0
713,Lactococcus-lactis-IL1403-MAF-2,cysKcustom,508.9
714,Lactococcus-lactis-IL1403-MAF-2,cysM,276.4
715,Lactococcus-lactis-IL1403-MAF-2,cysMcustom,343.9
716,Lactococcus-lactis-IL1403-MAF-2,lcd,54.1
717,Lactococcus-lactis-IL1403-MAF-2,lcdcustom,65.5
718,Lactococcus-lactis-IL1403-MAF-2,malY,392.5
719,Lactococcus-lactis-IL1403-MAF-2,malYcustom,514.7
720,Lactococcus-lactis-IL1403-MAF-2,metC,253.7
721,Lactococcus-lactis-IL1403-MAF-2,metCcustom,557.2
722,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysK,463.5
723,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysKcustom,535.6
724,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysM,306.8
725,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysMcustom,366.7
726,Marvinbryantia-formatexigens-DSM-14469-MAF-2,lcd,31.1
727,Marvinbryantia-formatexigens-DSM-14469-MAF-2,lcdcustom,25.5
728,Marvinbryantia-formatexigens-DSM-14469-MAF-2,malY,432.8
729,Marvinbryantia-formatexigens-DSM-14469-MAF-2,malYcustom,574.0
730,Marvinbryantia-formatexigens-DSM-14469-MAF-2,metC,181.0
731,Marvinbryantia-formatexigens-DSM-14469-MAF-2,metCcustom,371.1
732,Megasphaera-elsdenii-14-14-MAF-2,cysK,425.6
733,Megasphaera-elsdenii-14-14-MAF-2,cysKcustom,506.3
734,Megasphaera-elsdenii-14-14-MAF-2,cysM,284.4
735,Megasphaera-elsdenii-14-14-MAF-2,cysMcustom,347.0
736,Megasphaera-elsdenii-14-14-MAF-2,lcd,55.5
737,Megasphaera-elsdenii-14-14-MAF-2,lcdcustom,65.2
738,Megasphaera-elsdenii-14-14-MAF-2,malY,345.3
739,Megasphaera-elsdenii-14-14-MAF-2,malYcustom,486.0
740,Megasphaera-elsdenii-14-14-MAF-2,metC,227.3
741,Megasphaera-elsdenii-14-14-MAF-2,metCcustom,458.1
742,Mitsuokella-multacida-DSM-20544-MAF-2,cysK,466.5
743,Mitsuokella-multacida-DSM-20544-MAF-2,cysKcustom,546.5
744,Mitsuokella-multacida-DSM-20544-MAF-2,cysM,291.7
745,Mitsuokella-multacida-DSM-20544-MAF-2,cysMcustom,357.0
746,Mitsuokella-multacida-DSM-20544-MAF-2,lcd,45.4
747,Mitsuokella-multacida-DSM-20544-MAF-2,lcdcustom,49.2
748,Mitsuokella-multacida-DSM-20544-MAF-2,malY,476.0
749,Mitsuokella-multacida-DSM-20544-MAF-2,malYcustom,591.2
750,Mitsuokella-multacida-DSM-20544-MAF-2,metC,223.9
751,Mitsuokella-multacida-DSM-20544-MAF-2,metCcustom,468.6
752,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysK,460.9
753,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysKcustom,551.8
754,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysM,315.1
755,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysMcustom,368.9
756,Parabacteroides-johnsonii-DSM-18315-MAF-2,lcd,84.4
757,Parabacteroides-johnsonii-DSM-18315-MAF-2,lcdcustom,93.2
758,Parabacteroides-johnsonii-DSM-18315-MAF-2,malY,483.7
759,Parabacteroides-johnsonii-DSM-18315-MAF-2,malYcustom,609.5
760,Parabacteroides-johnsonii-DSM-18315-MAF-2,metC,209.1
761,Parabacteroides-johnsonii-DSM-18315-MAF-2,metCcustom,391.5
762,Parabacteroides-merdae-ATCC-43184-MAF-2,cysK,460.6
763,Parabacteroides-merdae-ATCC-43184-MAF-2,cysKcustom,549.3
764,Parabacteroides-merdae-ATCC-43184-MAF-2,cysM,313.8
765,Parabacteroides-merdae-ATCC-43184-MAF-2,cysMcustom,368.2
766,Parabacteroides-merdae-ATCC-43184-MAF-2,lcd,84.7
767,Parabacteroides-merdae-ATCC-43184-MAF-2,lcdcustom,94.4
768,Parabacteroides-merdae-ATCC-43184-MAF-2,malY,478.8
769,Parabacteroides-merdae-ATCC-43184-MAF-2,malYcustom,588.7
770,Parabacteroides-merdae-ATCC-43184-MAF-2,metC,204.9
771,Parabacteroides-merdae-ATCC-43184-MAF-2,metCcustom,396.1
772,Parabacteroides-sp-D13-MAF-2,cysK,455.0
773,Parabacteroides-sp-D13-MAF-2,cysKcustom,546.7
774,Parabacteroides-sp-D13-MAF-2,cysM,306.4
775,Parabacteroides-sp-D13-MAF-2,cysMcustom,358.7
776,Parabacteroides-sp-D13-MAF-2,lcd,91.1
777,Parabacteroides-sp-D13-MAF-2,lcdcustom,96.5
778,Parabacteroides-sp-D13-MAF-2,malY,488.0
779,Parabacteroides-sp-D13-MAF-2,malYcustom,590.7
780,Parabacteroides-sp-D13-MAF-2,metC,201.6
781,Parabacteroides-sp-D13-MAF-2,metCcustom,389.2
782,Phocaeicola_vulgatus,cysK,445.0
783,Phocaeicola_vulgatus,cysKcustom,535.2
784,Phocaeicola_vulgatus,cysM,307.0
785,Phocaeicola_vulgatus,cysMcustom,360.9
786,Phocaeicola_vulgatus,lcd,94.5
787,Phocaeicola_vulgatus,lcdcustom,102.5
788,Phocaeicola_vulgatus,malY,475.9
789,Phocaeicola_vulgatus,malYcustom,602.2
790,Phocaeicola_vulgatus,metC,220.6
791,Phocaeicola_vulgatus,metCcustom,405.3
792,Prevotella-buccalis-ATCC-35310-MAF-2,cysK,445.0
793,Prevotella-buccalis-ATCC-35310-MAF-2,cysKcustom,524.2
794,Prevotella-buccalis-ATCC-35310-MAF-2,cysM,302.7
795,Prevotella-buccalis-ATCC-35310-MAF-2,cysMcustom,358.2
796,Prevotella-buccalis-ATCC-35310-MAF-2,lcd,72.9
797,Prevotella-buccalis-ATCC-35310-MAF-2,lcdcustom,80.5
798,Prevotella-buccalis-ATCC-35310-MAF-2,malY,455.0
799,Prevotella-buccalis-ATCC-35310-MAF-2,malYcustom,590.4
800,Prevotella-buccalis-ATCC-35310-MAF-2,metC,177.3
801,Prevotella-buccalis-ATCC-35310-MAF-2,metCcustom,357.7
802,Prevotella-copri-DSM-18205-MAF-2,cysK,439.7
803,Prevotella-copri-DSM-18205-MAF-2,cysKcustom,528.8
804,Prevotella-copri-DSM-18205-MAF-2,cysM,314.4
805,Prevotella-copri-DSM-18205-MAF-2,cysMcustom,361.9
806,Prevotella-copri-DSM-18205-MAF-2,lcd,79.4
807,Prevotella-copri-DSM-18205-MAF-2,lcdcustom,82.8
808,Prevotella-copri-DSM-18205-MAF-2,malY,454.2
809,Prevotella-copri-DSM-18205-MAF-2,malYcustom,590.6
810,Prevotella-copri-DSM-18205-MAF-2,metC,220.2
811,Prevotella-copri-DSM-18205-MAF-2,metCcustom,401.7
812,Roseburia-intestinalis-L1-82-MAF-2,cysK,457.9
813,Roseburia-intestinalis-L1-82-MAF-2,cysKcustom,543.1
814,Roseburia-intestinalis-L1-82-MAF-2,cysM,316.2
815,Roseburia-intestinalis-L1-82-MAF-2,cysMcustom,369.8
816,Roseburia-intestinalis-L1-82-MAF-2,lcd,66.9
817,Roseburia-intestinalis-L1-82-MAF-2,lcdcustom,67.2
818,Roseburia-intestinalis-L1-82-MAF-2,malY,478.3
819,Roseburia-intestinalis-L1-82-MAF-2,malYcustom,593.2
