,strain,pHMM,hsp_len
431,Blautia-obeum-ATCC-29174-MAF-2,cysM,298
432,Blautia-obeum-ATCC-29174-MAF-2,cysMcustom,303
433,Blautia-obeum-ATCC-29174-MAF-2,lcd,210
434,Blautia-obeum-ATCC-29174-MAF-2,lcdcustom,185
435,Blautia-obeum-ATCC-29174-MAF-2,malY,367
436,Blautia-obeum-ATCC-29174-MAF-2,malYcustom,376
437,Blautia-obeum-ATCC-29174-MAF-2,metC,211
438,Blautia-obeum-ATCC-29174-MAF-2,metCcustom,405
439,Blautia-sp-KLE-1732-MAF-2,cysK,299
440,Blautia-sp-KLE-1732-MAF-2,cysKcustom,312
441,Blautia-sp-KLE-1732-MAF-2,cysM,300
442,Blautia-sp-KLE-1732-MAF-2,cysMcustom,303
443,Blautia-sp-KLE-1732-MAF-2,lcd,208
444,Blautia-sp-KLE-1732-MAF-2,lcdcustom,208
445,Blautia-sp-KLE-1732-MAF-2,malY,378
446,Blautia-sp-KLE-1732-MAF-2,malYcustom,399
447,Blautia-sp-KLE-1732-MAF-2,metC,215
448,Blautia-sp-KLE-1732-MAF-2,metCcustom,413
449,Blautia-wexlerae-DSM-19850-MAF-2,cysK,300
450,Blautia-wexlerae-DSM-19850-MAF-2,cysKcustom,311
451,Blautia-wexlerae-DSM-19850-MAF-2,cysM,300
452,Blautia-wexlerae-DSM-19850-MAF-2,cysMcustom,304
453,Blautia-wexlerae-DSM-19850-MAF-2,lcd,186
454,Blautia-wexlerae-DSM-19850-MAF-2,lcdcustom,190
455,Blautia-wexlerae-DSM-19850-MAF-2,malY,379
456,Blautia-wexlerae-DSM-19850-MAF-2,malYcustom,379
457,Blautia-wexlerae-DSM-19850-MAF-2,metC,214
458,Blautia-wexlerae-DSM-19850-MAF-2,metCcustom,408
459,Butyricimonas-virosa-DSM-23226-MAF-2,cysK,332
460,Butyricimonas-virosa-DSM-23226-MAF-2,cysKcustom,365
461,Butyricimonas-virosa-DSM-23226-MAF-2,cysM,106
462,Butyricimonas-virosa-DSM-23226-MAF-2,cysMcustom,222
463,Butyricimonas-virosa-DSM-23226-MAF-2,lcd,285
464,Butyricimonas-virosa-DSM-23226-MAF-2,lcdcustom,295
465,Butyricimonas-virosa-DSM-23226-MAF-2,malY,383
466,Butyricimonas-virosa-DSM-23226-MAF-2,malYcustom,385
467,Butyricimonas-virosa-DSM-23226-MAF-2,metC,85
468,Butyricimonas-virosa-DSM-23226-MAF-2,metCcustom,123
469,Butyricimonas-virosa-DSM-23226-MAF-2,tnaA,455
470,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysK,318
471,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysKcustom,326
472,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysM,318
473,Butyrivibrio-crossotus-DSM-2876-MAF-2,cysMcustom,321
474,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcd,210
475,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcdcustom,69
476,Butyrivibrio-crossotus-DSM-2876-MAF-2,malY,382
477,Butyrivibrio-crossotus-DSM-2876-MAF-2,malYcustom,387
478,Butyrivibrio-crossotus-DSM-2876-MAF-2,metC,253
479,Butyrivibrio-crossotus-DSM-2876-MAF-2,metCcustom,295
480,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysK,299
481,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysKcustom,308
482,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysM,300
483,Catenibacterium-mitsuokai-DSM-15897-MAF-2,cysMcustom,305
484,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcd,215
485,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcdcustom,217
486,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malY,383
487,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malYcustom,401
488,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metC,213
489,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metCcustom,420
490,Clostridium-scindens-ATCC-35704-MAF-2,cysK,300
491,Clostridium-scindens-ATCC-35704-MAF-2,cysKcustom,308
492,Clostridium-scindens-ATCC-35704-MAF-2,cysM,302
493,Clostridium-scindens-ATCC-35704-MAF-2,cysMcustom,307
494,Clostridium-scindens-ATCC-35704-MAF-2,lcd,235
495,Clostridium-scindens-ATCC-35704-MAF-2,lcdcustom,268
496,Clostridium-scindens-ATCC-35704-MAF-2,malY,376
497,Clostridium-scindens-ATCC-35704-MAF-2,malYcustom,398
498,Clostridium-scindens-ATCC-35704-MAF-2,metC,228
499,Clostridium-scindens-ATCC-35704-MAF-2,metCcustom,220
500,Clostridium-sp-M62-1-MAF-2,cysK,305
501,Clostridium-sp-M62-1-MAF-2,cysKcustom,312
502,Clostridium-sp-M62-1-MAF-2,cysM,305
503,Clostridium-sp-M62-1-MAF-2,cysMcustom,306
504,Clostridium-sp-M62-1-MAF-2,lcd,179
505,Clostridium-sp-M62-1-MAF-2,lcdcustom,243
506,Clostridium-sp-M62-1-MAF-2,malY,387
507,Clostridium-sp-M62-1-MAF-2,malYcustom,393
508,Clostridium-sp-M62-1-MAF-2,metC,177
509,Clostridium-sp-M62-1-MAF-2,metCcustom,218
510,Clostridium-spiroforme-DSM-1552-MAF-2,cysK,296
511,Clostridium-spiroforme-DSM-1552-MAF-2,cysKcustom,315
512,Clostridium-spiroforme-DSM-1552-MAF-2,cysM,297
513,Clostridium-spiroforme-DSM-1552-MAF-2,cysMcustom,300
514,Clostridium-spiroforme-DSM-1552-MAF-2,lcd,219
515,Clostridium-spiroforme-DSM-1552-MAF-2,lcdcustom,221
516,Clostridium-spiroforme-DSM-1552-MAF-2,malY,381
517,Clostridium-spiroforme-DSM-1552-MAF-2,malYcustom,385
518,Clostridium-spiroforme-DSM-1552-MAF-2,metC,214
519,Clostridium-spiroforme-DSM-1552-MAF-2,metCcustom,218
520,Collinsella-stercoris-DSM-13279-MAF-2,cysK,302
521,Collinsella-stercoris-DSM-13279-MAF-2,cysKcustom,311
522,Collinsella-stercoris-DSM-13279-MAF-2,cysM,303
523,Collinsella-stercoris-DSM-13279-MAF-2,cysMcustom,307
524,Collinsella-stercoris-DSM-13279-MAF-2,lcd,236
525,Collinsella-stercoris-DSM-13279-MAF-2,lcdcustom,302
526,Collinsella-stercoris-DSM-13279-MAF-2,malY,360
527,Collinsella-stercoris-DSM-13279-MAF-2,malYcustom,399
528,Collinsella-stercoris-DSM-13279-MAF-2,metC,210
529,Collinsella-stercoris-DSM-13279-MAF-2,metCcustom,224
530,Collinsella_aerofaciens,cysK,302
531,Collinsella_aerofaciens,cysKcustom,310
532,Collinsella_aerofaciens,cysM,303
533,Collinsella_aerofaciens,cysMcustom,307
534,Collinsella_aerofaciens,lcd,221
535,Collinsella_aerofaciens,lcdcustom,299
536,Collinsella_aerofaciens,malY,361
537,Collinsella_aerofaciens,malYcustom,400
538,Collinsella_aerofaciens,metC,211
539,Collinsella_aerofaciens,metCcustom,265
540,Coprococcus-comes-ATCC-27758-MAF-2,cysK,299
541,Coprococcus-comes-ATCC-27758-MAF-2,cysKcustom,308
542,Coprococcus-comes-ATCC-27758-MAF-2,cysM,300
543,Coprococcus-comes-ATCC-27758-MAF-2,cysMcustom,304
544,Coprococcus-comes-ATCC-27758-MAF-2,lcd,222
545,Coprococcus-comes-ATCC-27758-MAF-2,lcdcustom,334
546,Coprococcus-comes-ATCC-27758-MAF-2,malY,384
547,Coprococcus-comes-ATCC-27758-MAF-2,malYcustom,401
548,Coprococcus-comes-ATCC-27758-MAF-2,metC,336
549,Coprococcus-comes-ATCC-27758-MAF-2,metCcustom,378
550,Coprococcus-eutactus-ATCC-27759-MAF-2,cysK,300
551,Coprococcus-eutactus-ATCC-27759-MAF-2,cysKcustom,316
552,Coprococcus-eutactus-ATCC-27759-MAF-2,cysM,301
553,Coprococcus-eutactus-ATCC-27759-MAF-2,cysMcustom,304
554,Coprococcus-eutactus-ATCC-27759-MAF-2,lcd,297
555,Coprococcus-eutactus-ATCC-27759-MAF-2,lcdcustom,330
556,Coprococcus-eutactus-ATCC-27759-MAF-2,malY,382
557,Coprococcus-eutactus-ATCC-27759-MAF-2,malYcustom,393
558,Coprococcus-eutactus-ATCC-27759-MAF-2,metC,400
559,Coprococcus-eutactus-ATCC-27759-MAF-2,metCcustom,404
560,Desulfovibrio_piger,cysK,296
561,Desulfovibrio_piger,cysKcustom,341
562,Desulfovibrio_piger,cysM,298
563,Desulfovibrio_piger,cysMcustom,301
564,Desulfovibrio_piger,lcd,65
565,Desulfovibrio_piger,malY,372
566,Desulfovibrio_piger,malYcustom,373
567,Desulfovibrio_piger,metC,210
568,Desulfovibrio_piger,metCcustom,217
569,Dorea-formicigenerans-ATCC-27755-MAF-2,cysK,299
570,Dorea-formicigenerans-ATCC-27755-MAF-2,cysKcustom,308
571,Dorea-formicigenerans-ATCC-27755-MAF-2,cysM,299
572,Dorea-formicigenerans-ATCC-27755-MAF-2,cysMcustom,304
573,Dorea-formicigenerans-ATCC-27755-MAF-2,lcd,219
574,Dorea-formicigenerans-ATCC-27755-MAF-2,lcdcustom,220
575,Dorea-formicigenerans-ATCC-27755-MAF-2,malY,388
576,Dorea-formicigenerans-ATCC-27755-MAF-2,malYcustom,395
577,Dorea-formicigenerans-ATCC-27755-MAF-2,metC,216
578,Dorea-formicigenerans-ATCC-27755-MAF-2,metCcustom,251
579,Dorea-longicatena-DSM-13814-MAF-2,cysK,298
580,Dorea-longicatena-DSM-13814-MAF-2,cysKcustom,308
581,Dorea-longicatena-DSM-13814-MAF-2,cysM,298
582,Dorea-longicatena-DSM-13814-MAF-2,cysMcustom,303
583,Dorea-longicatena-DSM-13814-MAF-2,lcd,179
584,Dorea-longicatena-DSM-13814-MAF-2,lcdcustom,220
585,Dorea-longicatena-DSM-13814-MAF-2,malY,393
586,Dorea-longicatena-DSM-13814-MAF-2,malYcustom,400
587,Dorea-longicatena-DSM-13814-MAF-2,metC,374
588,Dorea-longicatena-DSM-13814-MAF-2,metCcustom,381
589,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysK,299
590,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysKcustom,314
591,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysM,299
592,Enterocloster-asparagiformis-DSM-15981-MAF-2,cysMcustom,303
593,Enterocloster-asparagiformis-DSM-15981-MAF-2,lcd,206
594,Enterocloster-asparagiformis-DSM-15981-MAF-2,lcdcustom,335
595,Enterocloster-asparagiformis-DSM-15981-MAF-2,malY,391
596,Enterocloster-asparagiformis-DSM-15981-MAF-2,malYcustom,402
597,Enterocloster-asparagiformis-DSM-15981-MAF-2,metC,346
598,Enterocloster-asparagiformis-DSM-15981-MAF-2,metCcustom,386
599,Enterocloster-asparagiformis-DSM-15981-MAF-2,tnaA,531
600,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysK,299
601,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysKcustom,333
602,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysM,299
603,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,cysMcustom,303
604,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,lcd,266
605,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,lcdcustom,334
606,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,malY,383
607,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,malYcustom,389
608,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,metC,378
609,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,metCcustom,422
610,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,tnaA,57
611,Escherichia_coli,cysK,304
612,Escherichia_coli,cysKcustom,327
613,Escherichia_coli,cysM,302
614,Escherichia_coli,cysMcustom,307
615,Escherichia_coli,lcd,184
616,Escherichia_coli,lcdcustom,335
617,Escherichia_coli,malY,383
618,Escherichia_coli,malYcustom,388
619,Escherichia_coli,metC,387
620,Escherichia_coli,metCcustom,389
621,Escherichia_coli,tnaA,471
622,Eubacterium-siraeum-DSM-15702-MAF-2,cysK,329
623,Eubacterium-siraeum-DSM-15702-MAF-2,cysKcustom,352
624,Eubacterium-siraeum-DSM-15702-MAF-2,cysM,301
625,Eubacterium-siraeum-DSM-15702-MAF-2,cysMcustom,306
626,Eubacterium-siraeum-DSM-15702-MAF-2,lcd,325
627,Eubacterium-siraeum-DSM-15702-MAF-2,lcdcustom,327
628,Eubacterium-siraeum-DSM-15702-MAF-2,malY,370
629,Eubacterium-siraeum-DSM-15702-MAF-2,malYcustom,384
630,Eubacterium-siraeum-DSM-15702-MAF-2,metC,214
631,Eubacterium-siraeum-DSM-15702-MAF-2,metCcustom,223
632,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysK,301
633,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysKcustom,322
634,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysM,301
635,Eubacterium-ventriosum-ATCC-27560-MAF-2,cysMcustom,304
636,Eubacterium-ventriosum-ATCC-27560-MAF-2,lcd,177
637,Eubacterium-ventriosum-ATCC-27560-MAF-2,lcdcustom,178
638,Eubacterium-ventriosum-ATCC-27560-MAF-2,malY,384
639,Eubacterium-ventriosum-ATCC-27560-MAF-2,malYcustom,392
640,Eubacterium-ventriosum-ATCC-27560-MAF-2,metC,211
641,Eubacterium-ventriosum-ATCC-27560-MAF-2,metCcustom,241
642,Eubacterium_eligens,cysK,300
643,Eubacterium_eligens,cysKcustom,336
644,Eubacterium_eligens,cysM,301
645,Eubacterium_eligens,cysMcustom,306
646,Eubacterium_eligens,lcd,218
647,Eubacterium_eligens,lcdcustom,386
648,Eubacterium_eligens,malY,378
649,Eubacterium_eligens,malYcustom,382
650,Eubacterium_eligens,metC,212
651,Eubacterium_eligens,metCcustom,407
652,Eubacterium_rectale,cysK,300
653,Eubacterium_rectale,cysKcustom,308
654,Eubacterium_rectale,cysM,301
655,Eubacterium_rectale,cysMcustom,304
656,Eubacterium_rectale,lcd,183
657,Eubacterium_rectale,lcdcustom,176
658,Eubacterium_rectale,malY,382
659,Eubacterium_rectale,malYcustom,381
660,Eubacterium_rectale,metC,212
661,Eubacterium_rectale,metCcustom,405
662,Faecalibacterium_prausnitzii,cysK,299
663,Faecalibacterium_prausnitzii,cysKcustom,308
664,Faecalibacterium_prausnitzii,cysM,300
665,Faecalibacterium_prausnitzii,cysMcustom,304
666,Faecalibacterium_prausnitzii,lcd,105
667,Faecalibacterium_prausnitzii,lcdcustom,213
668,Faecalibacterium_prausnitzii,malY,372
669,Faecalibacterium_prausnitzii,malYcustom,370
670,Faecalibacterium_prausnitzii,metC,212
671,Faecalibacterium_prausnitzii,metCcustom,221
672,Granulicatella-adiacens-ATCC-49175-MAF-2,cysK,298
673,Granulicatella-adiacens-ATCC-49175-MAF-2,cysKcustom,301
674,Granulicatella-adiacens-ATCC-49175-MAF-2,cysM,299
675,Granulicatella-adiacens-ATCC-49175-MAF-2,cysMcustom,303
676,Granulicatella-adiacens-ATCC-49175-MAF-2,lcd,174
677,Granulicatella-adiacens-ATCC-49175-MAF-2,lcdcustom,378
678,Granulicatella-adiacens-ATCC-49175-MAF-2,malY,362
679,Granulicatella-adiacens-ATCC-49175-MAF-2,malYcustom,400
680,Granulicatella-adiacens-ATCC-49175-MAF-2,metC,115
681,Granulicatella-adiacens-ATCC-49175-MAF-2,metCcustom,213
682,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysK,310
683,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysKcustom,346
684,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysM,301
685,Intestinibacter-bartlettii-DSM-16795-MAF-2,cysMcustom,305
686,Intestinibacter-bartlettii-DSM-16795-MAF-2,lcd,335
687,Intestinibacter-bartlettii-DSM-16795-MAF-2,lcdcustom,336
688,Intestinibacter-bartlettii-DSM-16795-MAF-2,malY,360
689,Intestinibacter-bartlettii-DSM-16795-MAF-2,malYcustom,378
690,Intestinibacter-bartlettii-DSM-16795-MAF-2,metC,384
691,Intestinibacter-bartlettii-DSM-16795-MAF-2,metCcustom,390
692,Lachnospira-eligens-ATCC-27750-MAF-2,cysK,300
693,Lachnospira-eligens-ATCC-27750-MAF-2,cysKcustom,336
694,Lachnospira-eligens-ATCC-27750-MAF-2,cysM,301
695,Lachnospira-eligens-ATCC-27750-MAF-2,cysMcustom,306
696,Lachnospira-eligens-ATCC-27750-MAF-2,lcd,218
697,Lachnospira-eligens-ATCC-27750-MAF-2,lcdcustom,386
698,Lachnospira-eligens-ATCC-27750-MAF-2,malY,378
699,Lachnospira-eligens-ATCC-27750-MAF-2,malYcustom,382
700,Lachnospira-eligens-ATCC-27750-MAF-2,metC,212
701,Lachnospira-eligens-ATCC-27750-MAF-2,metCcustom,407
702,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysK,298
703,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysKcustom,318
704,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysM,299
705,Lactobacillus-ruminis-ATCC-25644-MAF-2,cysMcustom,303
706,Lactobacillus-ruminis-ATCC-25644-MAF-2,lcd,378
707,Lactobacillus-ruminis-ATCC-25644-MAF-2,lcdcustom,381
708,Lactobacillus-ruminis-ATCC-25644-MAF-2,malY,381
709,Lactobacillus-ruminis-ATCC-25644-MAF-2,malYcustom,388
710,Lactobacillus-ruminis-ATCC-25644-MAF-2,metC,213
711,Lactobacillus-ruminis-ATCC-25644-MAF-2,metCcustom,219
712,Lactococcus-lactis-IL1403-MAF-2,cysK,297
713,Lactococcus-lactis-IL1403-MAF-2,cysKcustom,327
714,Lactococcus-lactis-IL1403-MAF-2,cysM,297
715,Lactococcus-lactis-IL1403-MAF-2,cysMcustom,303
716,Lactococcus-lactis-IL1403-MAF-2,lcd,242
717,Lactococcus-lactis-IL1403-MAF-2,lcdcustom,340
718,Lactococcus-lactis-IL1403-MAF-2,malY,379
719,Lactococcus-lactis-IL1403-MAF-2,malYcustom,385
720,Lactococcus-lactis-IL1403-MAF-2,metC,374
721,Lactococcus-lactis-IL1403-MAF-2,metCcustom,379
722,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysK,300
723,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysKcustom,320
724,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysM,302
725,Marvinbryantia-formatexigens-DSM-14469-MAF-2,cysMcustom,311
726,Marvinbryantia-formatexigens-DSM-14469-MAF-2,lcd,176
727,Marvinbryantia-formatexigens-DSM-14469-MAF-2,lcdcustom,79
728,Marvinbryantia-formatexigens-DSM-14469-MAF-2,malY,384
729,Marvinbryantia-formatexigens-DSM-14469-MAF-2,malYcustom,398
730,Marvinbryantia-formatexigens-DSM-14469-MAF-2,metC,215
731,Marvinbryantia-formatexigens-DSM-14469-MAF-2,metCcustom,218
732,Megasphaera-elsdenii-14-14-MAF-2,cysK,298
733,Megasphaera-elsdenii-14-14-MAF-2,cysKcustom,313
734,Megasphaera-elsdenii-14-14-MAF-2,cysM,298
735,Megasphaera-elsdenii-14-14-MAF-2,cysMcustom,302
736,Megasphaera-elsdenii-14-14-MAF-2,lcd,294
737,Megasphaera-elsdenii-14-14-MAF-2,lcdcustom,371
738,Megasphaera-elsdenii-14-14-MAF-2,malY,395
739,Megasphaera-elsdenii-14-14-MAF-2,malYcustom,401
740,Megasphaera-elsdenii-14-14-MAF-2,metC,384
741,Megasphaera-elsdenii-14-14-MAF-2,metCcustom,391
742,Mitsuokella-multacida-DSM-20544-MAF-2,cysK,300
743,Mitsuokella-multacida-DSM-20544-MAF-2,cysKcustom,325
744,Mitsuokella-multacida-DSM-20544-MAF-2,cysM,301
745,Mitsuokella-multacida-DSM-20544-MAF-2,cysMcustom,305
746,Mitsuokella-multacida-DSM-20544-MAF-2,lcd,236
747,Mitsuokella-multacida-DSM-20544-MAF-2,lcdcustom,380
748,Mitsuokella-multacida-DSM-20544-MAF-2,malY,384
749,Mitsuokella-multacida-DSM-20544-MAF-2,malYcustom,390
750,Mitsuokella-multacida-DSM-20544-MAF-2,metC,342
751,Mitsuokella-multacida-DSM-20544-MAF-2,metCcustom,372
752,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysK,326
753,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysKcustom,336
754,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysM,301
755,Parabacteroides-johnsonii-DSM-18315-MAF-2,cysMcustom,306
756,Parabacteroides-johnsonii-DSM-18315-MAF-2,lcd,343
757,Parabacteroides-johnsonii-DSM-18315-MAF-2,lcdcustom,373
758,Parabacteroides-johnsonii-DSM-18315-MAF-2,malY,384
759,Parabacteroides-johnsonii-DSM-18315-MAF-2,malYcustom,389
760,Parabacteroides-johnsonii-DSM-18315-MAF-2,metC,231
761,Parabacteroides-johnsonii-DSM-18315-MAF-2,metCcustom,221
762,Parabacteroides-merdae-ATCC-43184-MAF-2,cysK,325
763,Parabacteroides-merdae-ATCC-43184-MAF-2,cysKcustom,336
764,Parabacteroides-merdae-ATCC-43184-MAF-2,cysM,301
765,Parabacteroides-merdae-ATCC-43184-MAF-2,cysMcustom,307
766,Parabacteroides-merdae-ATCC-43184-MAF-2,lcd,377
767,Parabacteroides-merdae-ATCC-43184-MAF-2,lcdcustom,378
768,Parabacteroides-merdae-ATCC-43184-MAF-2,malY,384
769,Parabacteroides-merdae-ATCC-43184-MAF-2,malYcustom,393
770,Parabacteroides-merdae-ATCC-43184-MAF-2,metC,231
771,Parabacteroides-merdae-ATCC-43184-MAF-2,metCcustom,221
772,Parabacteroides-sp-D13-MAF-2,cysK,325
773,Parabacteroides-sp-D13-MAF-2,cysKcustom,372
774,Parabacteroides-sp-D13-MAF-2,cysM,301
775,Parabacteroides-sp-D13-MAF-2,cysMcustom,305
776,Parabacteroides-sp-D13-MAF-2,lcd,301
777,Parabacteroides-sp-D13-MAF-2,lcdcustom,372
778,Parabacteroides-sp-D13-MAF-2,malY,384
779,Parabacteroides-sp-D13-MAF-2,malYcustom,389
780,Parabacteroides-sp-D13-MAF-2,metC,220
781,Parabacteroides-sp-D13-MAF-2,metCcustom,220
782,Phocaeicola_vulgatus,cysK,332
783,Phocaeicola_vulgatus,cysKcustom,355
784,Phocaeicola_vulgatus,cysM,301
785,Phocaeicola_vulgatus,cysMcustom,305
786,Phocaeicola_vulgatus,lcd,376
787,Phocaeicola_vulgatus,lcdcustom,377
788,Phocaeicola_vulgatus,malY,382
789,Phocaeicola_vulgatus,malYcustom,387
790,Phocaeicola_vulgatus,metC,213
791,Phocaeicola_vulgatus,metCcustom,221
792,Prevotella-buccalis-ATCC-35310-MAF-2,cysK,332
793,Prevotella-buccalis-ATCC-35310-MAF-2,cysKcustom,350
794,Prevotella-buccalis-ATCC-35310-MAF-2,cysM,301
795,Prevotella-buccalis-ATCC-35310-MAF-2,cysMcustom,304
796,Prevotella-buccalis-ATCC-35310-MAF-2,lcd,346
797,Prevotella-buccalis-ATCC-35310-MAF-2,lcdcustom,376
798,Prevotella-buccalis-ATCC-35310-MAF-2,malY,381
799,Prevotella-buccalis-ATCC-35310-MAF-2,malYcustom,387
800,Prevotella-buccalis-ATCC-35310-MAF-2,metC,223
801,Prevotella-buccalis-ATCC-35310-MAF-2,metCcustom,218
802,Prevotella-copri-DSM-18205-MAF-2,cysK,334
803,Prevotella-copri-DSM-18205-MAF-2,cysKcustom,358
804,Prevotella-copri-DSM-18205-MAF-2,cysM,301
805,Prevotella-copri-DSM-18205-MAF-2,cysMcustom,306
806,Prevotella-copri-DSM-18205-MAF-2,lcd,343
807,Prevotella-copri-DSM-18205-MAF-2,lcdcustom,372
808,Prevotella-copri-DSM-18205-MAF-2,malY,382
809,Prevotella-copri-DSM-18205-MAF-2,malYcustom,392
810,Prevotella-copri-DSM-18205-MAF-2,metC,229
811,Prevotella-copri-DSM-18205-MAF-2,metCcustom,218
812,Roseburia-intestinalis-L1-82-MAF-2,cysK,330
813,Roseburia-intestinalis-L1-82-MAF-2,cysKcustom,350
814,Roseburia-intestinalis-L1-82-MAF-2,cysM,300
815,Roseburia-intestinalis-L1-82-MAF-2,cysMcustom,305
816,Roseburia-intestinalis-L1-82-MAF-2,lcd,214
817,Roseburia-intestinalis-L1-82-MAF-2,lcdcustom,329
818,Roseburia-intestinalis-L1-82-MAF-2,malY,383
819,Roseburia-intestinalis-L1-82-MAF-2,malYcustom,391
820,Roseburia-intestinalis-L1-82-MAF-2,metC,360
821,Roseburia-intestinalis-L1-82-MAF-2,metCcustom,408
822,Roseburia_intestinalis,cysK,330
823,Roseburia_intestinalis,cysKcustom,350
824,Roseburia_intestinalis,cysM,300
825,Roseburia_intestinalis,cysMcustom,305
826,Roseburia_intestinalis,lcd,214
827,Roseburia_intestinalis,lcdcustom,329
828,Roseburia_intestinalis,malY,383
829,Roseburia_intestinalis,malYcustom,391
830,Roseburia_intestinalis,metC,360
831,Roseburia_intestinalis,metCcustom,408
832,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysK,331
833,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysKcustom,352
834,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysM,302
835,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysMcustom,309
836,Ruminococcus-gauvreauii-DSM-19829-MAF-2,lcd,180
837,Ruminococcus-gauvreauii-DSM-19829-MAF-2,lcdcustom,179
838,Ruminococcus-gauvreauii-DSM-19829-MAF-2,malY,384
839,Ruminococcus-gauvreauii-DSM-19829-MAF-2,malYcustom,387
840,Ruminococcus-gauvreauii-DSM-19829-MAF-2,metC,378
841,Ruminococcus-gauvreauii-DSM-19829-MAF-2,metCcustom,377
842,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysK,298
843,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysKcustom,316
844,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysM,298
845,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysMcustom,303
846,Ruminococcus-lactaris-ATCC-29176-MAF-2,lcd,181
847,Ruminococcus-lactaris-ATCC-29176-MAF-2,lcdcustom,333
848,Ruminococcus-lactaris-ATCC-29176-MAF-2,malY,384
849,Ruminococcus-lactaris-ATCC-29176-MAF-2,malYcustom,389
850,Ruminococcus-lactaris-ATCC-29176-MAF-2,metC,342
851,Ruminococcus-lactaris-ATCC-29176-MAF-2,metCcustom,378
852,Ruminococcus-torques-ATCC-27756-MAF-2,cysK,313
853,Ruminococcus-torques-ATCC-27756-MAF-2,cysKcustom,351
854,Ruminococcus-torques-ATCC-27756-MAF-2,cysM,300
855,Ruminococcus-torques-ATCC-27756-MAF-2,cysMcustom,305
856,Ruminococcus-torques-ATCC-27756-MAF-2,lcd,332
857,Ruminococcus-torques-ATCC-27756-MAF-2,lcdcustom,332
858,Ruminococcus-torques-ATCC-27756-MAF-2,malY,362
859,Ruminococcus-torques-ATCC-27756-MAF-2,malYcustom,369
860,Ruminococcus-torques-ATCC-27756-MAF-2,metC,215
861,Ruminococcus-torques-ATCC-27756-MAF-2,metCcustom,422
862,Ruminococcus_bromii,cysK,310
863,Ruminococcus_bromii,cysKcustom,359
864,Ruminococcus_bromii,cysM,301
865,Ruminococcus_bromii,cysMcustom,305
866,Ruminococcus_bromii,lcd,172
867,Ruminococcus_bromii,lcdcustom,171
868,Ruminococcus_bromii,malY,364
869,Ruminococcus_bromii,malYcustom,383
870,Ruminococcus_bromii,metC,223
871,Ruminococcus_bromii,metCcustom,411
872,Streptococcus-thermophilus-LMD-9-MAF-2,cysK,298
873,Streptococcus-thermophilus-LMD-9-MAF-2,cysKcustom,306
874,Streptococcus-thermophilus-LMD-9-MAF-2,cysM,298
